Date,Close,Open,High,Low,Volume,Change
2012-3-21,205.1,207.8,209.0,203.86,2950000.0,-0.0128
2012-3-22,205.35,204.32,206.9,204.29,833190.0,0.0012
2012-3-23,212.02,207.5,212.55,207.5,5490000.0,0.0325
2012-3-26,215.2,211.12,215.9,211.1,3770000.0,0.015
2012-3-27,201.5,210.22,210.99,201.0,7910000.0,-0.0637
2012-3-28,201.4,199.0,205.0,198.31,5550000.0,-0.0005
2012-3-29,201.15,200.8,205.5,200.0,3700000.0,-0.0012
2012-3-30,196.96,201.16,202.99,195.0,3800000.0,-0.0208
2012-4-5,206.0,196.1,206.4,196.1,4099999.9999999995,0.045899999999999996
2012-4-6,207.97,205.62,208.08,205.53,2670000.0,0.0096
2012-4-9,209.26,207.55,209.92,205.6,1450000.0,0.0062
2012-4-10,208.11,209.28,209.78,205.11,1660000.0,-0.0055000000000000005
2012-4-11,208.85,205.0,211.5,203.51,3150000.0,0.0036
2012-4-12,212.42,208.85,212.52,206.68,2840000.0,0.0171
2012-4-13,213.03,212.5,214.05,211.4,2049999.9999999998,0.0029
2012-4-16,212.83,212.5,215.4,211.59,2089999.9999999998,-0.0009
2012-4-17,210.18,212.84,213.01,210.0,1790000.0,-0.0125
2012-4-18,213.86,210.41,214.8,210.0,2280000.0,0.0175
2012-4-19,209.48,213.78,214.37,207.81,2180000.0,-0.020499999999999997
2012-4-20,212.5,208.3,213.35,208.3,1700000.0,0.0144
2012-4-23,211.84,211.72,214.27,209.86,1330000.0,-0.0031
2012-4-24,211.52,212.19,213.01,209.94,2180000.0,-0.0015
2012-4-25,212.92,212.45,213.26,210.0,1550000.0,0.0066
2012-4-26,216.69,214.25,217.0,213.5,3500000.0,0.0177
2012-4-27,224.56,216.69,225.48,216.69,4270000.0,0.0363
2012-5-2,225.98,226.0,226.57,222.0,3530000.0,0.0063
2012-5-3,226.69,225.98,227.3,223.61,2570000.0,0.0031
2012-5-4,234.0,226.5,234.88,226.5,3190000.0,0.0322
2012-5-7,234.51,234.8,237.76,233.28,3420000.0,0.0022
2012-5-8,234.11,234.45,234.85,229.38,3670000.0,-0.0017000000000000001
2012-5-9,230.83,231.12,232.65,227.2,3290000.0,-0.013999999999999999
2012-5-10,227.7,231.0,231.0,226.95,3060000.0,-0.013600000000000001
2012-5-11,227.69,228.0,228.5,225.9,2330000.0,0.0
2012-5-14,222.18,228.0,228.0,220.61,3880000.0,-0.0242
2012-5-15,223.11,221.1,223.66,220.1,1620000.0,0.0042
2012-5-16,220.02,222.95,223.4,218.0,2810000.0,-0.0138
2012-5-17,219.91,220.12,221.4,218.61,3420000.0,-0.0005
2012-5-18,217.92,218.67,219.97,215.9,2630000.0,-0.009000000000000001
2012-5-21,223.19,217.58,224.52,217.58,2880000.0,0.0242
2012-5-22,229.28,225.01,231.5,225.01,4150000.0000000005,0.0273
2012-5-23,230.47,229.25,232.1,228.0,2470000.0,0.0052
2012-5-24,220.24,229.8,232.77,217.88,5370000.0,-0.0444
2012-5-25,218.58,220.24,220.87,216.0,3060000.0,-0.0075
2012-5-28,225.49,218.01,225.9,217.81,2780000.0,0.0316
2012-5-30,228.66,227.51,229.98,227.0,2570000.0,0.0141
2012-5-31,236.68,228.2,237.8,228.0,3740000.0,0.0351
2012-6-1,240.37,238.0,243.0,236.71,3850000.0,0.015600000000000001
2012-6-4,236.53,238.0,242.99,236.47,2430000.0,-0.016
2012-6-5,240.8,237.48,241.8,237.21,2460000.0,0.0181
2012-6-6,236.58,241.0,242.0,236.41,1870000.0,-0.0175
2012-6-7,237.98,238.39,240.66,236.8,1970000.0,0.0059
2012-6-8,238.98,239.0,240.18,236.0,1730000.0,0.0042
2012-6-11,235.55,238.9,240.23,233.4,3310000.0,-0.0144
2012-6-12,233.85,234.21,236.49,232.13,1640000.0,-0.0072
2012-6-13,238.99,234.5,239.18,233.1,2049999.9999999998,0.022000000000000002
2012-6-14,244.59,238.0,245.79,237.22,2870000.0,0.023399999999999997
2012-6-15,243.38,245.02,246.41,239.77,1990000.0,-0.0049
2012-6-18,246.46,243.41,248.31,243.41,1950000.0,0.0127
2012-6-19,243.7,245.11,248.17,241.96,1730000.0,-0.011200000000000002
2012-6-20,243.56,243.83,244.39,242.0,1140000.0,-0.0006
2012-6-21,239.78,243.56,243.6,238.8,1700000.0,-0.0155
2012-6-25,237.6,238.1,241.96,237.5,1840000.0,-0.0091
2012-6-26,237.85,237.2,238.88,232.62,2610000.0,0.0011
2012-6-27,241.9,238.0,242.31,238.0,2330000.0,0.017
2012-6-28,236.14,241.88,242.0,235.99,2220000.0,-0.023799999999999998
2012-6-29,239.15,235.37,241.0,235.37,2320000.0,0.0127
2012-7-2,241.85,240.0,244.94,236.02,2570000.0,0.0113
2012-7-3,254.94,241.3,255.0,241.01,5020000.0,0.0541
2012-7-4,258.66,257.0,259.9,252.0,4500000.0,0.0146
