date,close,open,high,low,volume,change
2020年3月20日,"1,035.28","1,011.00","1,043.00","1,011.00",6.01M,3.94%
2020年3月19日,996,993.99,"1,015.00",960.1,10.23M,-1.19%
2020年3月18日,"1,007.99","1,040.00","1,060.00","1,007.99",7.35M,-3.55%
2020年3月17日,"1,045.10","1,055.00","1,078.00","1,011.12",7.94M,-2.05%
2020年3月16日,"1,067.00","1,103.98","1,107.95","1,062.00",5.12M,-4.05%
2020年3月13日,"1,112.03","1,090.00","1,128.98","1,080.00",7.59M,-2.32%
2020年3月12日,"1,138.50","1,141.22","1,153.00","1,125.10",3.66M,-1.73%
2020年3月11日,"1,158.52","1,155.50","1,169.58","1,141.00",3.55M,0.22%
2020年3月10日,"1,156.00","1,113.00","1,168.00","1,113.00",5.81M,3.77%
2020年3月9日,"1,114.01","1,135.00","1,135.00","1,111.31",4.34M,-3.59%
2020年3月6日,"1,155.50","1,163.00","1,176.00","1,151.98",3.06M,-1.32%
2020年3月5日,"1,171.00","1,136.31","1,174.99","1,130.56",6.24M,3.73%
2020年3月4日,"1,128.92","1,125.00","1,139.00","1,116.24",5.38M,1.43%
2020年3月3日,"1,113.00","1,098.00","1,118.88","1,098.00",5.03M,2.49%
2020年3月2日,"1,086.01","1,050.11","1,096.55","1,050.01",4.77M,2.74%
2020年2月28日,"1,057.00","1,070.30","1,082.00","1,049.97",4.99M,-2.79%
2020年2月27日,"1,087.39","1,076.00","1,094.99","1,076.00",3.45M,1.28%
2020年2月26日,"1,073.70","1,062.00","1,084.00","1,055.00",4.36M,-0.10%
2020年2月25日,"1,074.81","1,078.00","1,082.09","1,067.88",3.84M,-1.14%
2020年2月24日,"1,087.18","1,105.50","1,110.00","1,085.50",3.87M,-2.31%
2020年2月21日,"1,112.88","1,111.46","1,123.54","1,110.01",2.89M,-0.46%
2020年2月20日,"1,118.00","1,096.70","1,124.00","1,095.41",4.68M,1.96%
2020年2月19日,"1,096.50","1,085.00","1,101.50","1,078.00",3.71M,1.15%
2020年2月18日,"1,084.00","1,090.01","1,096.88","1,083.00",2.67M,-0.90%
2020年2月17日,"1,093.82","1,082.50","1,096.19","1,082.40",2.70M,0.53%
2020年2月14日,"1,088.00","1,090.45","1,093.51","1,083.11",2.33M,-0.27%
2020年2月13日,"1,091.00","1,098.00","1,113.89","1,088.01",3.04M,-0.57%
2020年2月12日,"1,097.27","1,089.00","1,098.79","1,085.88",2.81M,-0.07%
2020年2月11日,"1,098.00","1,063.00","1,099.68","1,062.80",4.79M,2.95%
2020年2月10日,"1,066.49","1,062.00","1,074.60","1,057.20",3.05M,-0.88%
2020年2月7日,"1,076.00","1,070.01","1,077.00","1,061.02",3.13M,0.47%
2020年2月6日,"1,071.00","1,059.43","1,075.00","1,052.02",4.72M,2.00%
2020年2月5日,"1,049.99","1,050.00","1,054.00","1,033.03",4.74M,1.15%
2020年2月4日,"1,038.01","1,015.00","1,057.00","1,011.01",6.26M,3.40%
2020年2月3日,"1,003.92",985,"1,010.68",980,12.34M,-4.64%
2020年1月23日,"1,052.80","1,076.00","1,076.00","1,037.00",5.35M,-2.11%
2020年1月22日,"1,075.51","1,070.00","1,084.00","1,055.38",3.62M,0.02%
2020年1月21日,"1,075.30","1,081.00","1,087.00","1,072.30",3.29M,-1.44%
2020年1月20日,"1,091.00","1,111.86","1,111.86","1,082.00",3.54M,-1.49%
2020年1月17日,"1,107.50","1,110.00","1,112.78","1,101.01",2.35M,0.05%
2020年1月16日,"1,107.00","1,118.87","1,118.87","1,102.58",2.32M,-0.46%
2020年1月15日,"1,112.13","1,109.01","1,121.60","1,105.00",2.60M,0.43%
2020年1月14日,"1,107.40","1,124.20","1,124.89","1,103.00",3.51M,-1.50%
2020年1月13日,"1,124.27","1,112.50","1,129.20","1,112.00",3.85M,1.06%
2020年1月10日,"1,112.50","1,109.00","1,115.99","1,102.50",3.60M,0.89%
